Date.day,Date.full,Date.Month,Date.Year,Statistics.Attendance,Statistics.Capacity,Statistics.Gross
25,"Sep 25, 2016",9,2016,"217,239",79,"22,165,299.00"
18,"Sep 18, 2016",9,2016,"221,531",88,"22,174,850.00"
11,"Sep 11, 2016",9,2016,"201,814",81,"20,154,528.00"
4,"Sep 4, 2016",9,2016,"224,722",83,"23,361,025.00"
28,"Aug 28, 2016",8,2016,"209,834",80,"21,495,765.00"
21,"Aug 21, 2016",8,2016,"222,667",80,"23,009,994.00"
14,"Aug 14, 2016",8,2016,"231,726",83,"24,414,933.00"
7,"Aug 7, 2016",8,2016,"225,907",82,"24,062,535.00"
31,"Jul 31, 2016",7,2016,"241,220",83,"25,496,118.00"
24,"Jul 24, 2016",7,2016,"250,613",84,"26,582,154.00"
17,"Jul 17, 2016",7,2016,"257,711",83,"27,125,138.00"
10,"Jul 10, 2016",7,2016,"235,573",80,"24,862,657.00"
3,"Jul 3, 2016",7,2016,"253,969",86,"26,033,649.00"
26,"Jun 26, 2016",6,2016,"273,633",86,"28,923,676.00"
19,"Jun 19, 2016",6,2016,"271,807",82,"28,229,256.00"
12,"Jun 12, 2016",6,2016,"280,991",83,"28,477,730.00"
5,"Jun 5, 2016",6,2016,"274,699",79,"27,019,163.00"
29,"May 29, 2016",5,2016,"291,638",82,"28,706,806.00"
